CODE IRIS;NOM IRIS;CODE INSEE COMMUNE;NOM COMMUNE;DEPARTEMENT;CAISSE REGIONALE;NOM AGENCE GROUPAMA;ID AGENCE GROUPAMA;ANNEE N DONNEES PORTEFEUILLE;ANNEE N-3 DONNEES INSEE;NB CONTRAT MRH AU 31 12 N;NB CONTRAT MRH POTENTIEL INSEE;PART DE MARCHE MRH;NB CONTRAT LOC APPART AU 31 12 N;NB CONTRAT LOC APPART POTENTIEL INSEE;PART DE MARCHE LOC APPART;NB CONTRAT LOC MAISON AU 31 12 N;NB CONTRAT LOC MAISON POTENTIEL INSEE;PART DE MARCHE LOC MAISON;NB CONTRAT PROPRIO APPART AU 31 12 N;NB CONTRAT PROPRIO APPART POTENTIEL INSEE;PART DE MARCHE PROPRIO APPART;NB CONTRAT PROPRIO MAISON AU 31 12 N;NB CONTRAT PROPRIO MAISON POTENTIEL INSEE;PART DE MARCHE PROPRIO MAISON;PART DE MARCHE MRH DE LA CR;COMPARAISON PDM PROPRIO MAISON A LA PDM DE LA CR;COUT INONDATION ANNUEL MOYEN MODELISE PAR RISQUE;SCORING INONDATION;ZONIER INONDATION;COUT SECHERESSE ANNUEL MOYEN MODELISE PAR RISQUE;SCORING SECHERESSE;ZONIER SECHERESSE;COUT GRELE ANNUEL MOYEN MODELISE PAR RISQUE;SCORING GRELE;ZONIER GRELE;COUT CLIMATIQUE ANNUEL MOYEN MODELISE PAR RISQUE;SCORING CLIMATIQUE;ZONIER CLIMATIQUE;INDICATEUR DEVELOPPEMENT COMMERCIAL;PROPORTION CONTRAT POTENTIEL PROPRIO MAISON;PROPORTION CONTRAT POTENTIEL PROPRIO APPART;PROPORTION CONTRAT POTENTIEL LOC MAISON;PROPORTION CONTRAT POTENTIEL LOC APPART;SCORE PONDERE DE DEVELOPPEMENT;NB CONTRAT POTENTIEL EN ZONE ROUGE;PART CONTRAT POTENTIEL EN ZONE ROUGE;NB CONTRAT POTENTIEL EN ZONE ORANGE ROUGE;PART CONTRAT POTENTIEL EN ZONE ORANGE ROUGE;NB CONTRAT PROPRIO MAISON AU 31 12 N ZONE 1 FORT POTENTIEL DE DEV;NB CONTRAT PROPRIO MAISON AU 31 12 N ZONE 2 POTENTIEL DE DEV;NB CONTRAT PROPRIO MAISON AU 31 12 N ZONE 3 FORT POTENTIEL DE DEV CIBLE;NB CONTRAT PROPRIO MAISON AU 31 12 N ZONE 4 POTENTIEL DE DEV CIBLE;NB CONTRAT PROPRIO MAISON AU 31 12 N ZONE 5 A VIGILANCE FORTE;NB CONTRAT PROPRIO MAISON AU 31 12 N ZONE 6 CRITIQUE;NB CONTRAT AUTRES PROFILS AU 31 12 N AUCUN CIBLAGE;NB CONTRAT PROPRIO MAISON POTENTIEL INSEE ZONE 1 FORT POTENTIEL DE DEV;NB CONTRAT PROPRIO MAISON POTENTIEL INSEE ZONE 2 POTENTIEL DE DEV;NB CONTRAT PROPRIO MAISON POTENTIEL INSEE ZONE 3 FORT POTENTIEL DE DEV CIBLE;NB CONTRAT PROPRIO MAISON POTENTIEL INSEE ZONE 4 POTENTIEL DE DEV CIBLE;NB CONTRAT PROPRIO MAISON POTENTIEL INSEE ZONE 5 A VIGILANCE FORTE;NB CONTRAT PROPRIO MAISON POTENTIEL INSEE ZONE 6 CRITIQUE;NB CONTRAT AUTRES PROFILS POTENTIEL INSEE AUCUN CIBLAGE;ESTIM GROUPAMA COUT CLIM ANNUEL MOYEN PROP MAISON ZONE VERTE;ESTIM GROUPAMA COUT CLIM ANNUEL MOYEN PROP MAISON ZONE ORANGE;ESTIM GROUPAMA COUT CLIM ANNUEL MOYEN PROP MAISON ZONE ROUGE;ESTIM GROUPAMA COUT CLIM ANNUEL MOYEN PROP APPART;ESTIM GROUPAMA COUT CLIM ANNUEL MOYEN LOCATAIRE MAISON;ESTIM GROUPAMA COUT CLIM ANNUEL MOYEN LOCATAIRE APPART;ESTIM MARCHE COUT CLIM ANNUEL MOYEN PROP MAISON ZONE VERTE;ESTIM MARCHE COUT CLIM ANNUEL MOYEN PROP MAISON ZONE ORANGE;ESTIM MARCHE COUT CLIM ANNUEL MOYEN PROP MAISON ZONE ROUGE;ESTIM MARCHE COUT CLIM ANNUEL MOYEN PROP APPART;ESTIM MARCHE COUT CLIM ANNUEL MOYEN LOCATAIRE MAISON;ESTIM MARCHE COUT CLIM ANNUEL MOYEN LOCATAIRE APPART;epci_code;epci_nom
740420102;Centre;74042;Bonneville;74;GRAA;AGENCE DE BONNEVILLE;;2025;2022;150.4059;2956.92;0.050866;61.33762;916.3122;0.06694;1.0;33.69248;0.02968;75.79108;1807.479;0.041932;12.27725;199.4365;0.06156;0.053637;SUREXPOSITION GROUPAMA;46.98;94.4;3;3.98;24.6;1 - <= 40;19.33;53.6;1 - ZONE VERTE GRELE;70.29;49.1;1 - ZONE VERTE CLIMATIQUE;2 - Potentiel de Dev;0.067447;0.611271;0.011394;0.309887;1.067447;0.0;0.0;0.0;0.0;;12.27725;;;;;138.1287;;199.4365;;;;;2757.484;660.0970691786206;0.0;0.0;792.0649663895559;7.444626305;90.51676088435867;10722.877609989368;0.0;0.0;18889.3045644003;250.82792288868643;1352.2143882142907;200000172;CC Faucigny-Glières
440500000;Crossac (commune non irisée);44050;Crossac;44;GLBR;AGENCE PONTCHATEAU;46129;2025;2022;164.0;1391.091;0.117893;0.0;11.58114;0.0;20.0;92.46794;0.216291;1.0;21.14627;0.04729;143.0;1265.896;0.112963;0.113839;SOUS-EXPOSITION GROUPAMA;7.89;38.8;1;16.75;48.9;"2 - ]40; 50]";4.78;17.3;1 - ZONE VERTE GRELE;29.42;23.2;1 - ZONE VERTE CLIMATIQUE;1 - Fort Potentiel de Dev;0.910002;0.015201;0.066472;0.008325;1.0;0.0;0.0;0.0;0.0;143.0;;;;;;21.0;1265.896;;;;;;125.1953;7688.519895949235;0.0;0.0;10.4506357;148.8925261;0.0;68062.00407134653;0.0;0.0;220.991964183839;688.3892584931617;17.090445963639958;200000438;CC du Pays de Pontchâteau Saint-Gildas-des-Bois
101140000;Crancey (commune non irisée);10114;Crancey;10;GNE;AGENCE DE ROMILLY SUR SEINE;72132;2025;2022;22.0;514.7079;0.042743;1.0;31.46921;0.031777;1.0;75.76795;0.013198;0.0;35.57593;0.0;20.0;371.8948;0.053779;0.034864;SUREXPOSITION GROUPAMA;38.45;91.7;3;4.52;27.2;1 - <= 40;22.88;58.0;1 - ZONE VERTE GRELE;65.85;46.5;1 - ZONE VERTE CLIMATIQUE;2 - Potentiel de Dev;0.722536;0.069119;0.147206;0.06114;1.722536;0.0;0.0;0.0;0.0;;20.0;;;;;2.0;;371.8948;;;;;142.8131;1075.317467964928;0.0;0.0;0.0;7.444626305;1.475713614;19995.248734266163;0.0;0.0;371.79108411870095;564.0640736459247;46.43954161882494;200000545;CC des Portes de Romilly-sur-Seine
840190101;La Planchette;84019;Bollène;84;GMED;AGCE BOLLENE;;2025;2022;42.76574;1641.668;0.02605;2.200268;153.2675;0.014356;6.297291;320.9343;0.019622;2.89328;186.1238;0.015545;31.3749;981.3428;0.031971;0.036441;SOUS-EXPOSITION GROUPAMA;39.53;92.1;3;62.6;71.2;"5 - ]70; 80]";28.11;63.5;2 - ZONE ORANGE GRELE;130.24;73.6;2 - ZONE ORANGE CLIMATIQUE;3 - Fort Potentiel de Dev Cible;0.597772;0.113375;0.195493;0.093361;2.195543;0.0;0.0;981.3428;0.597772;;;31.3749;;;;11.39084;;;981.3428;;;;660.3257;0.0;3578.907317138628;0.0;30.236615258096;46.88097822883976;3.246965442048552;0.0;111940.912243268;0.0;1945.11202889966;2389.2359319567613;226.178936333745;200000628;CC Rhône Lez Provence
410360000;Chaon (commune non irisée);41036;Chaon;41;GPVL;LAMOTTE BEUVRON;1254;2025;2022;35.0;364.4439;0.096037;0.0;0.0;;8.0;40.21759;0.198918;0.0;0.977318;0.0;27.0;323.249;0.083527;0.022372;SUREXPOSITION GROUPAMA;18.65;73.2;2;42.38;63.4;"4 - ]60; 70]";23.81;59.2;1 - ZONE VERTE GRELE;84.84;56.9;2 - ZONE ORANGE CLIMATIQUE;4 - Potentiel de Dev Cible;0.886965;0.002682;0.110353;0.0;3.660895;0.0;0.0;323.249;0.886965;;;;27.0;;;8.0;;;;323.249;;;41.19491;0.0;3079.866312330651;0.0;0.0;59.55701044;0.0;0.0;36872.72983683596;0.0;10.2135943810526;299.40492843770494;0.0;200000800;CC Cœur de Sologne
210670000;Bessey-lès-Cîteaux (commune non irisée);21067;Bessey-lès-Cîteaux;21;GGE;GENLIS;;2025;2022;20.0;317.1639;0.063059;0.0;0.954283;0.0;1.0;15.31899;0.065278;0.0;0.954283;0.0;19.0;299.9363;0.063347;0.050717;SUREXPOSITION GROUPAMA;62.24;97.0;3;67.14;72.6;"5 - ]70; 80]";66.19;90.7;3 - ZONE ROUGE GRELE;195.57;86.1;3 - ZONE ROUGE CLIMATIQUE;6 - Critique;0.945682;0.003009;0.0483;0.003009;5.728412;299.9363;0.945682;299.9363;0.945682;;;;;;19.0;1.0;;;;;;299.9363;17.22756;0.0;0.0;5146.730115658995;0.0;7.444626305;0.0;0.0;0.0;81246.90463101743;9.9728639877031;114.04415592003194;1.408248414708762;200000925;CC de la Plaine Dijonnaise
180150000;Aubigny-sur-Nère (commune non irisée);18015;Aubigny-sur-Nère;18;GRAA;AGENCE D AUBIGNY SUR NERE;;2025;2022;204.0;4191.749;0.048667;17.0;353.7056;0.048063;40.0;642.3624;0.06227;8.0;468.9448;0.01706;139.0;2726.737;0.050977;0.053637;SOUS-EXPOSITION GROUPAMA;13.78;62.2;2;52.45;67.6;"4 - ]60; 70]";34.5;69.0;2 - ZONE ORANGE GRELE;100.73;64.2;2 - ZONE ORANGE CLIMATIQUE;3 - Fort Potentiel de Dev Cible;0.650501;0.111873;0.153244;0.084381;2.301002;0.0;0.0;2726.737;0.650501;;;139.0;;;;65.0;;;2726.737;;;;1465.013;0.0;15855.608052368909;0.0;83.6050856;297.7850522;25.087131438;0.0;311036.4973661312;0.0;4900.77126820936;4782.148020382932;521.9681692680384;200000933;CC Sauldre et Sologne
830290000;Callian (commune non irisée);83029;Callian;83;GMED;AGCE FAYENCE;;2025;2022;109.0;2429.0;0.044874;5.0;144.0;0.034722;4.0;158.0;0.025316;17.0;305.0;0.055738;83.0;1822.0;0.045554;0.036441;SUREXPOSITION GROUPAMA;23.04;80.0;2;171.4;89.8;"7 - ]85; 90]";14.64;46.1;1 - ZONE VERTE GRELE;209.08;87.8;3 - ZONE ROUGE CLIMATIQUE;6 - Critique;0.750103;0.125566;0.065047;0.059284;4.750515;1822.0;0.750103;1822.0;0.750103;;;;;;83.0;26.0;;;;;;1822.0;607.0;0.0;0.0;22483.08418945772;177.66080689999998;29.77850522;7.37856807;0.0;0.0;493544.33003845735;3187.4438885;1176.25095619;212.502760416;200004802;CC du Pays de Fayence
451460000;La Ferté-Saint-Aubin (commune non irisée);45146;La Ferté-Saint-Aubin;45;GPVL;LA FERTE ST AUBIN;1353;2025;2022;272.0;4621.569;0.058854;19.0;330.9971;0.057402;45.0;678.0647;0.066365;9.0;388.7963;0.023148;199.0;3223.711;0.06173;0.022372;SUREXPOSITION GROUPAMA;14.4;63.9;2;169.08;89.6;"7 - ]85; 90]";17.5;50.6;1 - ZONE VERTE GRELE;200.98;86.8;3 - ZONE ROUGE CLIMATIQUE;6 - Critique;0.697536;0.084126;0.146717;0.07162;4.48768;3223.711;0.697536;3223.711;0.697536;;;;;;199.0;73.0;;;;;;3223.711;1397.858;0.0;0.0;53905.2259482179;94.0557213;335.008183725;28.038558666;0.0;0.0;873240.551993746;4063.168492807909;5047.938302111934;488.45692666451936;200005932;CC des Portes de Sologne
883670000;Rambervillers (commune non irisée);88367;Rambervillers;88;GGE;RAMBERVILLERS;;2025;2022;194.0;4136.784;0.046896;57.0;918.5476;0.062054;23.0;250.9085;0.091667;6.0;1376.229;0.00436;108.0;1591.099;0.067878;0.050717;SUREXPOSITION GROUPAMA;56.24;96.1;3;3.98;24.6;1 - <= 40;28.8;64.3;2 - ZONE ORANGE GRELE;89.02;59.0;2 - ZONE ORANGE CLIMATIQUE;4 - Potentiel de Dev Cible;0.384622;0.332681;0.060653;0.222044;2.153866;0.0;0.0;1591.099;0.384622;;;;108.0;;;86.0;;;;1591.099;;;2545.685;0.0;12319.465249322604;0.0;62.7038142;171.226405015;84.115675998;0.0;181495.2670252958;0.0;14382.4679187753;1867.9200192480928;1355.5131984270265;200005957;CC de la Région de Rambervillers
