epci_code,epci_nom,Nombre_Arretes
200054781,Métropole du Grand Paris,267
200067106,CA du Pays Basque,222
200054807,Métropole d Aix-Marseille-Provence,185
200072460,CA de Béthune-Bruay, Artois-Lys Romane,164
200066918,CA Alès Agglomération,144
200069037,CA du Pays de Saint-Omer,138
200090504,CA Coulommiers Pays de Brie,136
200035715,CA Carcassonne Agglo,117
200072031,CA de la Région de Château-Thierry,108
200073096,CA Arche Agglo,105
200073252,CC de la Castagniccia-Casinca,103
243000643,CA de Nîmes Métropole,99
200068757,CA d Épinal,97
200030195,Métropole Nice Côte d Azur,90
200056232,CA Communauté Paris-Saclay,89
200073344,CA Rambouillet Territoires,89
200068781,CA Valence Romans Agglo,87
243400017,Montpellier Méditerranée Métropole,86
200059889,CU Grand Paris Seine et Oise,85
200022986,CC du Grand Pic Saint-Loup,85
200039204,CC de Lacq-Orthez,81
200072544,CC des Deux Morin,80
246201016,CC du Pays de Lumbres,79
200034411,CC du Piémont Cévenol,78
200046977,Métropole de Lyon,77
240600585,CA de Sophia Antipolis,76
200040491,CC Porte de DrômArdèche,74
200069235,CC du Haut Pays du Montreuillois,72
244200770,Saint-Etienne Métropole,72
200068104,CA de la Provence Verte,71
200067213,CU du Grand Reims,70
200033181,CA Chartres Métropole,70
200044030,CC des 7 Vallées,69
200073138,CC Pasquale Paoli,68
200069672,CC du Ternois,68
200067205,CA du Cotentin,68
200096956,CA Agglomération dAgen,67
200068534,CC Terroir de Caux,67
248300493,CA Dracénie Provence Verdon Agglomération,67
200034692,CA du Gard Rhodanien,64
200084952,CU Le Havre Seine Métropole,63
200023414,Métropole Rouen Normandie,63
200057859,CA Cœur d Essonne Agglomération,61
200067288,CC du Béarn des Gaves,60
200071926,CC du Limouxin,60
200065886,CA Loire Forez Agglomération,60
200069029,CA des Deux Baies en Montreuillois,60
243000296,CC du Pays de Sommières,59
200069482,CC des Campagnes de l Artois,58
243400694,CC Vallée de l Hérault,56
243500741,CA Redon Agglomération,56
243500139,Rennes Métropole,55
200034379,CC Pays d Uzès,55
200069953,CC des Portes Euréliennes d Île-de-France,54
200040947,CC de Flandre Intérieure,54
200067296,CC du Nord Est Béarn,53
200065894,CC de Forez-Est,52
200034205,CC de la Costa Verde,52
200039857,CA du Pays de Grasse,51
243300316,Bordeaux Métropole,51
242600252,CC du Val de Drôme en Biovallée,51
241100593,CA Le Grand Narbonne,50
200067254,CA Pau Béarn Pyrénées,50
200058477,CA Val d Yerres Val de Seine,50
200071991,CC Retz-en-Valois,50
246500573,CC Aure Louron,49
200066124,CA Gaillac-Graulhet,49
200073419,CA du Puy-en-Velay,49
200015162,CC de l Oriente,48
200070811,CC Pyrénées Vallées des Gaves,48
200093201,Métropole Européenne de Lille,48
200068559,CC de l Ouest Vosgien,48
246200364,CA de Lens - Liévin,47
200069227,CC Pays Fort Sancerrois Val de Loire,47
200072635,CC Pyrénées Haut Garonnaises,47
200040459,CA Montélimar Agglomération,47
200071066,CA de Saint-Dié-des-Vosges,46
200058519,CA Saint Germain Boucles de Seine,45
200030674,CA Val de Garonne Agglomération,45
200089456,CA Seine-Eure,44
200072130,CA du Pays de Meaux,44
200077014,CA Vienne Condrieu,44
200036150,CC des Hauts du Val de Saône,44
243400819,CA Hérault-Méditerranée,44
246401756,CC Pays de Nay,43
249100074,CC du Pays de Limours (CCPL),43
200066884,CC Quercy Vert-Aveyron,42
200069847,CC Plateau de Caux,42
200069839,CC de la Côte d Albâtre,42
200055655,CA Roissy Pays de France,42
200071058,CC Les Avant-Monts,42
200018083,CC de Desvres-Samer,42
200068930,CC Fumel Vallée du Lot,41
243400520,CC du Pays de Lunel,41
200072478,CC Pays d Opale,41
248300543,Métropole Toulon-Provence-Méditerranée,41
